,Reviewer ID_new,Hotel ID,Score,reviewer_id_encoded,Reviewer Name,Nationality
0,#Aperol-Việt Nam,1_19,10.0,0,#Aperol,Việt Nam
1,.-Hàn Quốc,5_24,10.0,1,.,Hàn Quốc
2,0-Hàn Quốc,2_5,8.8,2,0,Hàn Quốc
3,001-Hồng Kông,6_5,6.4,3,001,Hồng Kông
4,02솔T-Hàn Quốc,22_7,10.0,4,02솔T,Hàn Quốc
5,04.-Việt Nam,2_2,10.0,5,04.,Việt Nam
6,0616237904-Pháp,12_2,10.0,6,0616237904,Pháp
7,10D5.14-Việt Nam,28_7,10.0,7,10D5.14,Việt Nam
8,1206-Hàn Quốc,7_7,10.0,8,1206,Hàn Quốc
9,21_Điêu-Việt Nam,2_10,8.0,9,21_Điêu,Việt Nam
10,23.Vũ-Việt Nam,3_3,9.6,10,23.Vũ,Việt Nam
11,31.-Việt Nam,30_18,8.4,11,31.,Việt Nam
12,441-Hàn Quốc,1_14,8.4,12,441,Hàn Quốc
13,5jiae-Hàn Quốc,30_26,8.0,13,5jiae,Hàn Quốc
14,84-Hàn Quốc,5_24,9.6,14,84,Hàn Quốc
15,A-Hàn Quốc,18_2,10.0,15,A,Hàn Quốc
16,A-Hàn Quốc,2_4,9.2,15,A,Hàn Quốc
17,A-Hàn Quốc,6_17,9.6,15,A,Hàn Quốc
18,A-Việt Nam,12_5,9.2,16,A,Việt Nam
19,A-ram-Hàn Quốc,5_24,8.4,17,A-ram,Hàn Quốc
20,AERI-Hàn Quốc,6_5,8.4,18,AERI,Hàn Quốc
21,AH-Hàn Quốc,2_16,10.0,19,AH,Hàn Quốc
22,AHHYEON-Hàn Quốc,3_26,9.6,20,AHHYEON,Hàn Quốc
23,AHN-Hàn Quốc,2_4,9.2,21,AHN,Hàn Quốc
24,AHN-Hàn Quốc,2_7,8.0,21,AHN,Hàn Quốc
25,AHN-Hàn Quốc,6_17,10.0,21,AHN,Hàn Quốc
26,AIKO-Nhật Bản,1_21,8.4,22,AIKO,Nhật Bản
27,AKIKO-Nhật Bản,11_14,8.0,23,AKIKO,Nhật Bản
28,AKIKO-Nhật Bản,11_25,8.0,23,AKIKO,Nhật Bản
29,AKIKO-Nhật Bản,6_25,8.0,23,AKIKO,Nhật Bản
30,AKINORI-Nhật Bản,1_11,9.2,24,AKINORI,Nhật Bản
31,AKINORI-Nhật Bản,1_15,7.2,24,AKINORI,Nhật Bản
32,AKIO-Nhật Bản,26_7,10.0,25,AKIO,Nhật Bản
33,ALAN-Vương quốc Anh,3_28,8.8,26,ALAN,Vương quốc Anh
34,ALEJANDRO-Tây Ban Nha,1_4,9.2,27,ALEJANDRO,Tây Ban Nha
35,ALEKSANDR-Thái Lan,4_19,10.0,28,ALEKSANDR,Thái Lan
36,ALEKSANDR-Thái Lan,4_30,10.0,28,ALEKSANDR,Thái Lan
37,ALEXANDRE-Brazil,10_2,10.0,29,ALEXANDRE,Brazil
38,ALICE-Hồng Kông,12_8,9.8,30,ALICE,Hồng Kông
39,AMIT-Việt Nam,1_5,10.0,31,AMIT,Việt Nam
40,AN-Hàn Quốc,11_17,6.8,32,AN,Hàn Quốc
41,AN-Hàn Quốc,11_28,6.8,32,AN,Hàn Quốc
42,AN-Hàn Quốc,2_29,8.0,32,AN,Hàn Quốc
43,AN-Hàn Quốc,3_18,6.8,32,AN,Hàn Quốc
44,AN-Hàn Quốc,6_29,6.8,32,AN,Hàn Quốc
45,AN-Việt Nam,15_17,9.6,33,AN,Việt Nam
46,ANASTASIIA-Pháp,1_18,10.0,34,ANASTASIIA,Pháp
47,ANATOLII-Nga,11_10,10.0,35,ANATOLII,Nga
48,ANATOLII-Nga,11_21,10.0,35,ANATOLII,Nga
49,ANATOLII-Nga,6_21,10.0,35,ANATOLII,Nga
50,ANDRE-Việt Nam,11_11,10.0,36,ANDRE,Việt Nam
51,ANDRE-Việt Nam,11_22,10.0,36,ANDRE,Việt Nam
52,ANDRE-Việt Nam,1_24,6.8,36,ANDRE,Việt Nam
